Product name in Flipkart,Retail Price in Flipkart,Discounted Price in Flipkart,Product name in Amazon,Retail Price in Amazon,Discounter Price in Amazon
Alisha Solid Women's Cycling Shorts,571230.0,571230.0,Alisha Solid Women's Cycling Shorts,571223.0,726879.0
FabHomeDecor Fabric Double Sofa Bed,227550.0,147907.5,FabHomeDecor Fabric Double Sofa Bed,227537.5,185481.5
AW Bellies,217500.0,141375.0,AW Bellies,217495.0,157779.0
Alisha Solid Women's Cycling Shorts,201000.0,201000.0,Alisha Solid Women's Cycling Shorts,200990.0,246928.0
Sicons All Purpose Arnica Dog Shampoo,162000.0,105300.0,Sicons All Purpose Arnica Dog Shampoo,161982.0,135928.0
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,116292.0,116292.0,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,116289.0,144560.0
Alisha Solid Women's Cycling Shorts,108900.0,70785.0,Alisha Solid Women's Cycling Shorts,108890.0,80760.0
FabHomeDecor Fabric Double Sofa Bed,108000.0,70200.0,FabHomeDecor Fabric Double Sofa Bed,107986.0,89531.0
"dilli bazaaar Bellies, Corporate Casuals, Casuals",107750.0,107750.0,"dilli bazaaar Bellies, Corporate Casuals, Casuals",107737.0,137323.0
Alisha Solid Women's Cycling Shorts,85500.0,55575.0,Alisha Solid Women's Cycling Shorts,85481.0,61939.0
Ladela Bellies,84300.0,54795.0,Ladela Bellies,84289.0,68963.0
Carrel Printed Women's,83700.0,54405.0,Carrel Printed Women's,83691.5,64749.5
Sicons All Purpose Tea Tree Dog Shampoo,75300.0,48945.0,Sicons All Purpose Tea Tree Dog Shampoo,75298.0,62790.0
Alisha Solid Women's Cycling Shorts,73500.0,47775.0,Alisha Solid Women's Cycling Shorts,73494.0,56296.0
Freelance Vacuum Bottles 350 ml Bottle,71687.0,44804.0,Freelance Vacuum Bottles 350 ml Bottle,71670.0,54572.0
Alisha Solid Women's Cycling Shorts,69999.0,48999.0,Alisha Solid Women's Cycling Shorts,69998.0,60524.0
FabHomeDecor Fabric Double Sofa Bed,69300.0,45045.0,FabHomeDecor Fabric Double Sofa Bed,69285.0,55486.0
Style Foot Bellies,60850.0,60850.0,Style Foot Bellies,60834.0,71563.5
Carrel Printed Women's,58520.0,36575.0,Carrel Printed Women's,58508.0,43517.0
FabHomeDecor Fabric Double Sofa Bed,57525.0,57525.0,FabHomeDecor Fabric Double Sofa Bed,57517.75,71891.75
Sicons Conditioning Conditoner Dog Shampoo,56600.0,56600.0,SICONS CONDITIONING CONDITONER DOG SHAMPOO,56584.0,72518.5
Alisha Solid Women's Cycling Shorts,54300.0,35295.0,ALISHA SOLID WOMEN'S CYCLING ShorTS,54299.0,42585.0
dongli Printed Boy's Round Neck T-Shirt,52500.0,34125.0,DONGLI PRINTED BOY'S ROUND NECK T-SHIRT,52488.0,42733.5
SWAGGA Women Clogs,49999.0,40000.0,SWAGGA WOMEN CLOGS,49993.0,45624.0
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,49999.0,42996.0,KENNEL RUBBER DUMBELL WITH BELL - SMALL RUBBER RUBBER TOY FOR DOG,49993.0,54229.0
Glus Wedding Lingerie Set,49999.0,36356.0,GLUS WEDDING LINGERIE SET,49993.0,42854.0
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,49999.0,43975.0,VEELYS SHINY WHITE QUAD ROLLER SKATES - SIZE 4.5 UK,49987.0,53190.5
Bulaky vanity case Jewellery Vanity Case,49999.0,38287.0,BULAKY VANITY CASE JEWELLERY VANITY CASE,49992.0,46642.0
FDT Women's Leggings,49999.0,37652.0,FDT WOMEN'S Leggings Pants,49995.0,47167.0
Madcaps C38GR30 Men's Cargos,49999.0,35698.0,MADCAPS C38GR30 MEN'S CARGOS,49992.0,45034.0
Bengal Blooms Rose Artificial Plant  with Pot,49999.0,36356.0,BENGAL BLOOMS ROSE ARTIFICIAL PLANT  WITH POT,-17.0,0.0
Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,49999.0,36341.0,INDCROWN NET EMBROIDERED SEMI-STITCHED LEHENGA CHOLI MATERIAL,49991.0,46000.0
Shopmania Music Band A5 Notebook Spiral Bound,49999.0,41499.0,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,49984.0,47475.0
Shopmania Music Band A5 Notebook Spiral Bound,49999.0,35427.0,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,49985.0,41950.0
"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",49999.0,31406.666666666668,"TIARA DIARIES 2016-2017 DESIGNER LA KAARTA ""TAKING ACTION GETTING RESULT"" (SET OF 3) B5 NOTEBOOK HARD BOUND",49987.666666666664,39297.333333333336
KAJCI Embroidered Women's Waistcoat,49970.0,37551.0,KAJCI EMBROIDERED WOMEN'S WAISTCOAT,49954.0,48406.0
Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,49958.0,36270.5,PACKMAN 8 X 10 INCHES SECURITY BAGS WITHOUT POD JACKET COURIER BAG SECURITY BAG,49950.5,41631.5
Pick Pocket Embroidered Women's Waistcoat,49770.5,35037.5,PICK POCKET EMBROIDERED WOMEN'S WAISTCOAT,49767.5,39292.5
Angelfish Silk Potali Potli,49736.0,39204.0,ANGELFISH SILK POTALI POTLI,49727.0,44720.0
Oye Boy's Dungaree,49648.25,33586.0,OYE BOY'S DUNGAREE,49638.25,39371.75
Nuride Canvas Shoes,49613.0,35465.0,NURIDE CANVAS SHOES,49606.0,45326.0
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,49519.0,39615.0,OM SHIVAKRITI SQUARE WALL CLOCK SHOWPIECE  -  38.1 CM,49516.0,44932.0
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,49466.0,34900.0,HIMMLISCH ST381 MAGNETIC SUN SHADE FOR MARUTI ALTO,49460.0,43540.0
Rapter BNC-179 BNC Wire Connector,49443.0,36931.0,RAPTER BNC-179 BNC WIRE CONNECTOR,49434.0,40753.0
Vishudh Printed Women's Straight Kurta,49421.0,36576.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,49405.0,42846.0
Vishudh Printed Women's Straight Kurta,49377.0,37014.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,49372.0,45687.0
Vishudh Printed Women's Anarkali Kurta,49178.0,40818.0,VISHUDH PRINTED WOMEN'S ANARKALI KURTA,49159.0,45781.0
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,49021.0,32495.0,BUILDTRACK PIR WIRELESS MOTION SENSOR - ONE SWITCH CONTROL WIRELESS SENSOR SECURITY SYSTEM,49011.5,41356.5
